,file,index,start,end,label2a,label2b,label6,label7,split
300,-yRb-Jum7EQ,3,58.798,71.84,0,-1,2,-1,2
301,-yRb-Jum7EQ,4,70.84,82.317,1,0,2,0,2
302,03X1FwF6udc,0,76.797,86.846,1,1,1,1,0
303,03X1FwF6udc,1,92.691,96.135,1,0,1,0,0
304,03X1FwF6udc,2,110.081,114.693,1,1,0,1,0
305,03X1FwF6udc,3,152.066,161.417,1,1,0,1,0
306,03X1FwF6udc,4,10.946,20.537,1,0,1,0,0
307,03X1FwF6udc,5,19.537,28.549,1,1,0,1,0
308,03X1FwF6udc,6,39.751,44.083,1,1,0,1,0
309,06st0Ez_E_I,0,0.0,10.53,1,0,0,0,1
310,06st0Ez_E_I,1,33.385,38.646,1,0,0,0,1
311,07Z16yRBFUQ,0,15.845,21.824,1,1,0,1,0
312,07Z16yRBFUQ,1,37.297,49.771,1,0,0,0,0
313,07Z16yRBFUQ,2,49.339,58.321,1,0,0,0,0
314,08d4NTXkSxw,0,-0.038548752834,6.69841269841,1,0,0,0,0
315,08d4NTXkSxw,1,6.62630385488,11.5174603175,1,0,0,0,0
316,08d4NTXkSxw,2,11.335600907,22.0235827664,1,1,0,1,0
317,08d4NTXkSxw,3,46.1664399093,55.0684807256,1,0,0,0,0
318,0AA-wmk8WdA,0,10.627,17.145,1,1,0,1,0
319,0AA-wmk8WdA,1,78.403,83.903,1,1,0,1,0
320,0AkGtPzl7D8,0,32.448,37.888,1,1,0,1,0
321,0BVed2nBq1g,0,-0.487528344671,3.73514739229,1,0,0,0,0
322,0BVed2nBq1g,1,2.94467120181,10.8888888889,1,1,0,1,0
323,0BVed2nBq1g,2,10.2380952381,20.4770975057,0,-1,0,-1,0
324,0BVed2nBq1g,3,19.9659863946,25.9346938776,0,-1,0,-1,0
325,0BVed2nBq1g,4,25.3138321995,30.7038548753,0,-1,0,-1,0
326,0BVed2nBq1g,5,32.198185941,37.219047619,1,0,0,0,0
327,0BVed2nBq1g,6,36.4884353741,39.7732426304,1,1,0,1,0
328,0DBfvvIVmqY,0,0.410430839002,4.21405895692,1,1,0,1,0
329,0DBfvvIVmqY,1,35.1115646259,42.187755102,1,1,0,1,0
330,0DBfvvIVmqY,2,41.4172335601,44.7120181406,1,1,0,2,0
331,0DBfvvIVmqY,3,44.3804988662,47.0566893424,1,1,0,1,0
332,0DBfvvIVmqY,4,46.0566893424,52.1950113379,1,1,0,1,0
333,0DBfvvIVmqY,5,14.6780045351,18.0925170068,1,1,0,2,0
334,0DBfvvIVmqY,6,17.6013605442,21.0058956916,1,1,0,1,0
335,0DBfvvIVmqY,7,20.3451247166,23.3904761905,1,1,0,1,0
336,0DBfvvIVmqY,8,24.4857142857,29.6861678005,1,1,0,1,0
337,0DBfvvIVmqY,9,29.3446712018,32.9487528345,1,1,0,3,0
338,0DBfvvIVmqY,10,32.4875283447,35.3433106576,1,1,0,1,0
339,0EAAfLCQabY,0,-0.487528344671,5.71065759637,0,-1,1,-1,0
340,0EAAfLCQabY,1,5.0,7.41678004535,0,-1,0,-1,0
341,0EAAfLCQabY,2,6.75600907029,15.1891156463,0,-1,5,-1,0
342,0EphpADwdPg,0,-0.487528344671,3.42585034014,1,1,0,1,0
343,0EphpADwdPg,1,2.58548752834,12.1959183673,1,1,0,1,0
344,0EphpADwdPg,2,11.1959183673,15.1492063492,1,0,0,0,0
345,0EphpADwdPg,3,33.5850340136,38.6557823129,1,1,0,1,0
346,0EphpADwdPg,4,38.0149659864,45.5501133787,1,1,0,2,0
347,0EphpADwdPg,5,45.0589569161,50.7482993197,1,1,0,1,0
348,0FA32bEZ6xI,0,5.29931972789,8.69387755102,1,1,0,1,0
349,0FA32bEZ6xI,1,7.69387755102,14.2512471655,1,0,2,0,0
350,0FA32bEZ6xI,2,58.5882086168,68.4281179138,1,1,0,1,0
351,0FA32bEZ6xI,3,68.4258503401,77.6371882086,1,0,0,0,0
352,0FA32bEZ6xI,4,76.6371882086,79.4031746032,1,0,2,0,0
353,0FA32bEZ6xI,5,78.6027210884,92.3637188209,1,1,0,1,0
354,0FA32bEZ6xI,6,93.0299319728,95.9256235828,1,1,2,1,0
355,0FA32bEZ6xI,7,95.9034013605,108.856235828,1,0,2,0,0
356,0FA32bEZ6xI,8,110.091156463,116.189569161,1,0,2,0,0
357,0FA32bEZ6xI,9,116.546485261,130.467120181,1,0,0,0,0
358,0FA32bEZ6xI,10,130.804081633,133.819501134,1,0,0,0,0
359,0FA32bEZ6xI,11,133.767346939,142.988662132,1,1,2,1,0
360,0FA32bEZ6xI,12,13.8399092971,16.0671201814,1,0,0,0,0
361,0FA32bEZ6xI,13,145.141496599,156.029024943,1,0,2,0,0
362,0FA32bEZ6xI,14,156.655328798,163.970975057,1,0,2,0,0
363,0FA32bEZ6xI,15,163.888888889,175.624489796,1,1,0,1,0
364,0FA32bEZ6xI,16,176.66984127,181.411337868,1,0,0,0,0
365,0FA32bEZ6xI,17,181.548752834,194.272108844,1,0,2,0,0
366,0FA32bEZ6xI,18,193.970521542,199.829478458,1,1,2,1,0
367,0FA32bEZ6xI,19,199.936961451,212.071655329,1,0,2,0,0
368,0FA32bEZ6xI,20,212.099319728,222.048979592,1,0,2,0,0
369,0FA32bEZ6xI,21,221.687528345,225.900226757,1,0,0,0,0
370,0FA32bEZ6xI,22,225.259410431,229.911111111,1,0,2,0,0
371,0FA32bEZ6xI,23,15.0671201814,19.3496598639,1,0,1,0,0
372,0FA32bEZ6xI,24,19.4172335601,28.758276644,1,1,0,1,0
373,0FA32bEZ6xI,25,29.1650793651,39.1945578231,1,1,2,1,0
374,0FA32bEZ6xI,26,39.3818594104,43.893877551,1,0,2,0,0
375,0FA32bEZ6xI,27,42.9138321995,49.9501133787,1,1,0,1,0
376,0FA32bEZ6xI,28,49.8081632653,59.2489795918,0,-1,0,-1,0
377,0Fqav67TDEw,0,6.936,15.299,1,1,0,1,2
378,0JaYazphxfM,0,30.332,42.637,1,1,0,1,2
379,0JaYazphxfM,1,41.956,50.16,1,0,0,0,2
380,0JuRmhhgMw8,0,0.351,6.08,1,1,0,1,0
381,0JuRmhhgMw8,1,5.459,16.676,1,1,0,1,0
